NÂº,#,TID,EPC,,,(kHz),(0Â°-180Â°),
185,1,E2003412012E0200032A7F421B0B012D300D5FFBFFFFDC50,E20000198306009927304B31,-54,11,923250,2,Gen2
186,2,E200600316D97F18,35326,-57,11,923250,14,Gen2
187,2,E200680B00004006B9F14CF40000000000000000000000000000,E200680B0000000000000000,-51,11,923250,146,Gen2
188,1,E2003412013B02000A534B72090A0137100D4AFBFFFFDC60,4E20190A02D7C00000000001,-56,11,923250,11,Gen2
189,2,E20034120163C3FFEE9784EE1C15016130055FFBFFFFDC40,E2008347590802520720CEAA,-52,11,923250,73,Gen2
190,1,E20034120163C3FFEE9784EE1C15016230055FFBFFFFDC40,E2008347590802520720CEAA,-51,11,923250,177,Gen2
191,2,E200680B00004006A1B1C0AA0000000000000000000000000000,E200680B0000000000000000,-61,11,923250,2,Gen2
192,3,E200680B00004006A1B3884C0000000000000000000000000000,E200680B0000000000000000,-59,11,923250,160,Gen2
193,1,E200341201370200032B19EE01080133300D5FFBFFFFDC50,E2000019830602512160E5DD,-50,11,923250,33,Gen2
194,3,E200341201370200032B19EE01080133700D5FFBFFFFDC50,E2000019830602512160E5DD,-49,11,923250,45,Gen2
195,2,E20065750548599D,55011,-59,11,905250,149,Gen2
196,3,E200341201322000002FEC140D040131300D5FFBFFFFDC60,E200002083030123073061D5,-52,11,923250,2,Gen2
197,4,E200680B00004006A1B31C700000000000000000000000000000,E200680B0000000000000000,-51,11,923250,42,Gen2
198,2,E200680B00004006A1B32CD90000000000000000000000000000,E200680B0000000000000000,-53,11,923250,33,Gen2
199,1,E2003412012A03000EECB4AB03140129700D5FFBFFFFDC50,E200001D8901010806304EFA,-52,11,923250,95,Gen2
200,1,E2003412012A03000EECB4AB0314012A300D5FFBFFFFDC50,E200001D8901010806304EFA,-51,11,923250,14,Gen2
201,1,E2003412012A03000EECB4AB03140129300D5FFBFFFFDC50,E200001D8901010806304EFA,-53,11,923250,132,Gen2
202,3,E20065750548CA33,36650,-57,11,923250,42,Gen2
203,1,E200341201280300048DE708150C0127300D5FFBFFFFDC60,E200001A350C01932670AA88,-50,11,923250,92,Gen2
204,1,E200341201280300048DE708150C0128300D5FFBFFFFDC60,E200001A350C01932670AA88,-51,11,923250,11,Gen2
205,2,E200657505498521,71631,-56,11,923250,98,Gen2
206,1,E20034120132FF000C4ED33D12160131100D5FFBFFFFDC50,E20000203910011023304A5C,-61,11,923250,160,Gen2
207,1,E20034120132FF000C4ED33D12160132100D5FFBFFFFDC50,E20000203910011023304A5C,-61,11,923250,129,Gen2
208,2,E200600316D92FC9,16663,-59,11,913250,151,Gen2
209,2,E200680B00004006A1A154360000000000000000000000000000,E200680B0000000000000000,-60,11,923250,115,Gen2
210,1,E200341201311B00028827E5040E012F100D5FFBFFFFDC60,4E20190A0000000000000958,-56,11,923250,132,Gen2
211,2,E200680B00004006B9F2A4A20000000000000000000000000000,E200680B0000000000000000,-50,11,923250,146,Gen2
